Colistin_0.8ugml,Ethanol_5.,Gentamycin_0.8ugml,Gentamycin_4ugml,Gentamycin_8ugml,Imipenem_0.1ugml,LB_,LBBlood_5.,LBUrine_5.,pH_8,pH_9,Colistin_4ugml,Colistin_8ugml,EDTA_0.1mM,EDTA_0.5mM,EDTA_1mM,Imipenem_0.5ugml,Imipenem_1ugml,Indole_1mM,RPMI_1,pH_5,pH_6,Aceticacid_0.7mM.1,Aceticacid_0.7mM,Aceticacid_1mM,Aceticacid_5mM,Bleach_1.,Chloramphenicol_1.6ugml,Chloramphenicol_8ugml,DMSO_1.,Ethanol_1.,M9_GLUCOSE,Methanol_1.,Methanol_5.,Propanol_1.,TWEEN20_0.8.,TWEEN20_0.8..1,TWEEN20_1.5.,Tetracycline_0.8ugml,Ceftazidime_0.2ugml,Ceftazidime_1ugml,Ceftazidime_2ugml,Ciprofloxacin_0.05ugml,Ciprofloxacin_0.25ugml,Ciprofloxacin_0.5ugml,LB_2,UV_12sec,UV_24sec,UV_6sec
115161,73967,150692,172198,196270.5,77651.5,135388.5,23090,81982,69513,38268,109142,138140.5,69452.5,17125,31656,83382,65286,51998,30569,69998.5,82694,79008,79008,106409,71362.5,80105,107703.5,169204,71695,99303,78007,96515,104559,116811.5,88308,95081,83107,99538,172612.5,189209,183878.5,158792,195867.5,211835,185163,87923,5907,149188
251007,191047.5,231889.5,271853,266881,228270.5,236869.5,109646,145383,160158,115268,293726.5,243370.5,189817,65076,59372.5,130703.5,129269,123162,98441,136320,129409,156842,158246.5,204001,114552,171571,226445,254174,162443,177102,72313,177420.5,181289,219059,155897,160313,188845,233039,332229,331709,335206,293593,309271.5,322336.5,306314,78917,35073,145500
167459,166909,82228.5,21307,14205,170718.5,180285.5,67991.5,138979,105318,63694,116144,65795,115602,55140,45609.5,114608,95911,96055,54639,142698,144929,101321,101321,121392,70960.5,78442,55396.5,0,97110,113648.5,64249,112102,101179,115213,96526,103234.5,113933.5,134998,207404,203567,201717,189505.5,155756,190256,192560,191143,199607,213611
108994,35839.5,0,0,0,76586,64540,35816,138143,32694,57881,0,0,0,0,0,0,0,0,0,0,0,906,1205,4774,0,0,2659.5,33575,1742,4135,0,4929,1302,11667,313.5,313.5,1191,0,43505,43246.5,9091,45866.5,36429.5,50335.5,63427,13760,0,0
145619,100061,165951,191697,184004,120858,141124,58904.5,112954,116595,80636,126726,147526.5,87318,37776,21867.5,100810,66771,63768.5,75065,119028,118763,85406,85139,118068,61448,78935,124033,167263,85745.5,93917,70578,95402,92225,113381,100802,100802,122271,141628,152090,187948,178245,171075,187099,192432,168944,154569,177513,144780
151296,106777,180859,204489.5,204818,131128,161990,68366,143017,148727,84418.5,0,0,53972,47295,25805,49578.5,23628,31252.5,34364,121679,111905,77100.5,72768,105582.5,42293,51267,40132,54062,70947,86310,15564,86373.5,83501,110829,76837,83810.5,83273,78244,188608.5,189038,192015.5,156563.5,160978.5,204943.5,165643,91125,168129.5,76782
119691,118155.5,150316.5,140563,169011,143026.5,121291.5,51461.5,143788,133462,72727,85029,32527,103493,34285,30525,66432,29947,87995,79125,94959.5,107950,47685,52322,87059,52180,58808.5,36930,0,51938,80958,17149,84447,79256,102502,60871,64498,99126,49634,129020,122949,154121,124016,144301,156242,110898,97533,112633,22991
97609,94469.5,118570.5,47820,31827.5,96311,162599.5,49717,108268,96509,66779.5,116885.5,114694,120529,71701,42157,142290.5,118897,77692.5,101872,136556,123208,111719.5,111719.5,164522.5,64307,99637,130600,141831,94880,152436,58527,119098.5,114151,145009,95676.5,95676.5,105906,170880,258315,288331,245047.5,243041,259758,279432,216676,226447,228509,219849.5
162213,110996,167938.5,24565.5,21191.5,117096,157628.5,70155,133913,95114,81684,200753,168863,129111,50534,33347,50109,23718,65396,91201,119839.5,150031,81697,82371,126432,57824,89578,94410,16830,73063.5,122113,21778,108726.5,94892,137532,108782.5,116298,132196,151550,192524,192185,223182,188469.5,198786,221734.5,171395,18357,27168.5,37871.5
196098,104700,162110.5,46480,25080,173072,153929,73842.5,102889,107885,87098,180882,168864,115692,68445,46035.5,140045,96940.5,68347,76161,140104.5,118391,80405.5,90325,108340.5,61850,70405,87227,28314,73109,100531,47647,98455.5,74656,104069,77958,83751,89937,2873,198591,215132,224395.5,198372,203296,259301.5,172558,171310,199331.5,171066
38526,42562,50942.5,0,8463,32995,122557,10915.5,43369,50666,32095.5,93969,62726.5,87437,53347,29378.5,106202,69448,76856,89113,75561,101252,48194,49290,69798,23163,37806,25251,0,45281,55239,24459,56428,45374.5,58979.5,29182,30378,24837.5,124798,151643.5,162450,123600.5,127418,194754,302073,127583.5,114156,180047,76443.5
74906,78028,75046,11228,21229.5,82681.5,169949.5,42912,121785,108205,74211,24104,6997.5,96194,43535,24645,52361.5,24428.5,49585,82037,85868,102126,79253.5,81700,129779,57580,85221,64746,0,90075,104298,49350,102667.5,105278,114720,101589.5,99263,118178,72095.5,179791,171673,167906.5,191070,204293,224804,178568,176095,164305.5,176418
134151,117722,172393.5,43386,28513,120114,207563.5,45798,132736,99180,77941.5,192839,117386.5,123922,99866,58472,142014,150375.5,103708,101717,152210,164251,115596,128755,214617.5,88732,147377,138162,118679,111097.5,164307,93792,123894,121702,171796,138240.5,147565,179965,192695,282843,276589,271874.5,288412,296043,316131,259998.5,250293,264790.5,309392
