Colistin_0.8ugml,Gentamycin_0.8ugml,Gentamycin_4ugml,Gentamycin_8ugml,Imipenem_0.1ugml,LB_,LBBlood_5.,LBUrine_5.,ethanol_5.,pH_8,pH_9
2760,3702,2024,3219,2074,2303,2391.5,2474.5,2047,1919,1663.5
3907,3012.5,2694,2428,3274.5,3685,3209,2706,2590,2836,1782
3829,3772,0,1573,3461,2776,2861,2663,2483,2448,1918
3343,2946,1588,1908.5,2905.5,2693,2303,2423,2456,2154,1727.5
2370.5,2703.5,913.5,668,2682,4249,3240,4140,2246.5,4388,2372
1802,3474,2803.5,3707,1559.5,2071,1818,1318.5,1406,2215,1462
3349,3369,915,906,2961.5,3072,2958,3092,2449,2377,2175.5
4047,4446.5,5035,4424.5,3753,3620,3696,3281,3132,2942,2347
0,0,0,0,0,2459,1338,1806.5,581,1092,877
3583,4209.5,1177,857,2858,2946,2756,3050,2416,2080,1926
2996,2904.5,2139.5,1820,2721.5,2864,2967.5,2596,2593,2336,1709.5
2903,3052.5,2827.5,3142,2415,2786,2905,2771,2330,2205,2020
2458.5,4039,4116,4634,3044,3566,3191,3065,2959.5,2508,2631.5
2454.5,4168,3495,1701,2531.5,2874,1765.5,2727,2087,1786,1440
2705.5,3218.5,2381,3582,2182,2893.5,2827.5,2638,2081.5,2283,1704.5
2016,2387.5,3152,2862,1961.5,1976,1358.5,2049,1629,1517,1386.5
3688.5,4485.5,1996,1792,2652,2928,2026,2233,2240,2015,1409
3172.5,3906.5,4098,3788,2591,2535,2140,2309,2026,1862,1557.5
2076.5,2498,4195,3662,1587.5,1826,1659,2391,1493,1727,1148
440,1331,1167,2779,873,983,765,1102,645.5,554,765.5
522,482,799,1116,639,3268,1842,3168.5,2758,1839,1853
1394,3785,3339,4004,2057.5,1748,2112.5,2049.5,1523,1772,954.5
5319,5332,1748,1351,3866,4892,2884,4636,3312,2551,2896
2727,3695.5,4104,4544,2408.5,2560,2420,2633,2140,1897,1850.5
1299.5,1042,348,220,859,2051.5,1781,1102.5,971,1695,1058
3289.5,1898,2275,2471,2478.5,2376,3194.5,1958,1814.5,2554,1542
3317.5,3517,4078,4226,2633,3174,2990.5,3073,2576,2514,2147
3037,4021,3511,3711,2779.5,2860,2850.5,2592,2713,2119,2102
2229,2603,2989,2906,1908,2071,1814.5,1991,1911,1774,2428
4561,4535,1060,1042.5,3647,3235.5,3368,3170,3306,2763,2471
1680.5,1829,2419.5,2051.5,1655.5,1939,1260.5,2087,1336,1348,2017
0,0,0,0,380,0,307.5,386,303,0,411
3029,3642.5,3688,3985.5,1590,2062,1940.5,2662.5,1760,2058,1562
2315,3071.5,2924,3432,2091.5,2250,2370,2062,1952,2341,1927.5
2641.5,3431,3989,3208,2401,3295,2374.5,3198,1918,1955,2236.5
3036,1937,2070,2807,3243,2179,2903,3477.5,2763,1947,2666.5
3394.5,3900.5,2716.5,1375,2394,2639.5,2403,2529,2045,2215,1217.5
3465.5,2809,2815,2407,2800.5,2784.5,2730,1929.5,2139,3203,1787
3341,3651.5,4320.5,3959,2745,3015,3025.5,2745,2357,2490,2220.5
3239,4582,4719.5,4827,2729.5,2754,2617,2889,2343,2407,1846.5
3717,4066,4576,4292,3136,3324,3253.5,3141.5,2574,2683,2300.5
3019,3954.5,4374,4396,2543,3152,3057.5,2883,1593,2682,1483.5
3539,3911.5,3834,3782,3168.5,3114,3063.5,3100,2626,2552,2201
3391,3436,3832,3980,2880,3045,2985,3050.5,2565.5,2489,2254
3314.5,3593,3472.5,3666,2917,3112,2961.5,2765,2580,2127,1916
0,0,0,0,0,1077,0,0,0,0,0
3714.5,3802.5,4132,4059,3131.5,3314,2921,3346,2528.5,2687,2275
2341.5,2199,1936,960,2014.5,2697.5,2360.5,2624,1649,1769,1052
1512.5,1953,1216,1441.5,1848.5,2338,2146.5,2513,1541.5,1874,1236
3891,4614,4487,3679,4160.5,3229,3192,3090,2827,2733,2780.5
4188.5,3919.5,3901,3608,3463.5,2869,2990.5,2790,2580,2354,2034
4303.5,4032,4244.5,3768,3930,3207,3150,2957,2802,2648,2145.5
3505,4357.5,5805.5,5067,2906.5,3234,2600,3273,2537,2673,2080.5
5147,4431.5,3783,2960,4943.5,3404,3534,2992,3659,3500,2601
2510.5,2970,1395,940,2202,2718,2102.5,2503,2432,2380,1886
3371.5,3887.5,1325,1379,2721.5,3092,2983,2999,2578,2721,2243.5
1593,1943,0,483,2023,2854,2367,2391,1908,2211,1430.5
0,261.5,0,0,662,1481.5,939.5,1917,376,460,366.5
0,0,0,0,0,0,0,0,0,0,0
4607.5,3543.5,1223,1727,3651.5,3205,2973,3154,2550,2499,2056
4951,3660,2414,2330,4844,3847,3508,4110,4021,3222,3619
400,171,0,0,0,723,386,955,0,723,186.5
3849.5,3856,4264,4184,3800,3380.5,4043,3900,3093,3038,2687
1648,1927,1980,1687,2018.5,2307,2126.5,1873,1621,2538,1432
5152,5253,6232,5844,4912.5,4633,3574,4687.5,4291,3535,3468
4424.5,4409,2680.5,2845,3742.5,3544.5,3587,3573,3615,2779,2761
5944,5506,5094,4909.5,5510.5,4093,3974,4274,3541,2952,3053
3074.5,3240,3569.5,3751,2707.5,3146,2849,2970,2477,2444,2097
1470.5,2479.5,1947,2188,1718.5,1780.5,1330.5,1902,988,1374,1282.5
3413,3278,4165,2082,3607,3079,1970.5,1924,2509,3030,2194
2792,2435.5,3166,2168,2472,2405,1904,2172,2149,2243,2078.5
3284,4146,4944,4523.5,2561,2890,1957,2327.5,2042,2018,1638
